internal_transfer_id,operation_type,transfer_reference,scheduled_date,effective_date,created_date,updated_date,back_order,source_document,transfer_state,source_location,destination_location,transfer_amount
4076,Receipts,WH/IN/06384,2021-03-24 02:17:46.000000,2021-03-31 01:25:11.000000,2021-03-18 04:25:40.024513,2021-03-31 01:25:10.810244,,PO05005,done,Partner Locations/Vendors,WH/Input,
4169,Pick Components,WH/PC/00773,2021-03-23 04:47:20.000000,,2021-03-23 04:58:42.063590,2021-03-23 05:00:05.651943,,MO/03706,cancel,WH/Stock,WH/WIP,
4305,Pick Components,WH/PC/00817,2021-03-31 02:29:26.000000,2021-03-31 02:30:13.000000,2021-03-31 02:29:41.656149,2021-03-31 02:30:13.259547,,MO/03741,done,WH/Stock,WH/WIP,
4158,Receipts,WH/IN/06413,2021-03-24 01:55:28.000000,2021-04-11 23:20:34.000000,2021-03-23 02:02:00.908079,2021-04-11 23:20:34.139617,,PO05028,done,Partner Locations/Vendors,WH/Input,
4184,Receipts,WH/IN/06419,2021-03-23 23:27:31.000000,2021-03-24 01:42:19.000000,2021-03-24 00:11:39.932358,2021-03-24 01:42:18.801366,,PO05044,done,Partner Locations/Vendors,WH/Input,
4324,Pick Components,WH/PC/00822,2021-04-01 00:12:16.000000,2021-04-01 03:31:53.000000,2021-04-01 00:12:32.759302,2021-04-01 03:31:52.713254,,MO/03745,done,WH/Stock,WH/WIP,
4223,Pick Components,WH/PC/00790,2021-03-25 21:01:12.000000,2021-03-25 22:30:20.000000,2021-03-25 21:01:51.527198,2021-03-25 22:30:19.587227,,MO/03719,done,WH/Stock,WH/WIP,
4419,Pick Components,WH/PC/00837,2021-04-11 23:45:33.000000,2021-04-12 00:08:25.000000,2021-04-11 23:46:20.901140,2021-04-12 00:08:23.944810,,MO/03758,done,WH/Stock,WH/WIP,
4216,Pick Components,WH/PC/00789,2021-03-25 04:19:39.000000,2021-03-25 04:23:23.000000,2021-03-25 04:19:53.067591,2021-03-25 04:23:21.122843,,MO/03718,done,WH/Stock,WH/WIP,
4159,Receipts,WH/IN/06414,2021-03-03 04:53:09.000000,2021-04-06 00:58:49.000000,2021-03-23 02:41:36.663667,2021-04-06 00:58:47.513320,WH/IN/06403,PO04720,done,Partner Locations/Vendors,WH/Input,5568.7
4414,Pick Components,WH/PC/00835,2021-04-09 05:43:39.000000,2021-04-12 00:05:11.000000,2021-04-09 05:43:52.378399,2021-04-12 00:05:09.967439,,MO/03756,done,WH/Stock,WH/WIP,
3795,Receipts,WH/IN/06245,2021-03-04 10:43:05.000000,2021-04-13 22:54:45.000000,2021-03-03 23:28:54.275938,2021-04-13 22:54:44.276129,WH/IN/06194,PO04893,done,Partner Locations/Vendors,WH/Input,
4011,Goods Inwards Inspection,WH/GI/559,2020-12-14 04:24:47.000000,,2021-03-16 22:35:27.256658,2021-03-16 22:35:27.256658,WH/GI/481,PO04379,waiting,WH/Input,WH/Stock,
4212,Receipts,WH/IN/06433,2021-04-01 01:23:44.000000,2021-04-06 04:46:55.000000,2021-03-25 02:54:34.095696,2021-04-06 04:46:55.563272,,PO05053,done,Partner Locations/Vendors,WH/Input,
4111,Pick Components,WH/PC/00757,2021-03-21 22:31:27.000000,2021-03-21 22:51:05.000000,2021-03-21 22:31:36.707668,2021-03-21 22:51:04.076426,,MO/03694,done,WH/Stock,WH/WIP,
4205,Receipts,WH/IN/06430,2021-03-31 23:22:01.000000,2021-04-14 22:34:52.000000,2021-03-24 23:26:15.062421,2021-04-14 22:34:52.703465,,PO05052,done,Partner Locations/Vendors,WH/Input,
4359,Receipts,WH/IN/06485,2021-04-09 04:06:56.000000,2021-04-07 23:37:01.000000,2021-04-06 23:21:09.087096,2021-04-07 23:37:00.868822,,PO05081,done,Partner Locations/Vendors,WH/Input,
3951,Pick Components,WH/PC/00726,2021-03-11 23:36:28.000000,2021-03-12 00:22:14.000000,2021-03-11 23:36:56.967047,2021-03-12 00:22:13.866492,,MO/03665,done,WH/Stock,WH/WIP,
3853,Receipts,WH/IN/06267,2021-03-15 00:11:10.000000,2021-03-12 03:02:50.000000,2021-03-08 00:20:18.617303,2021-03-12 03:02:50.150184,,PO04954,done,Partner Locations/Vendors,WH/Input,
4129,Receipts,WH/IN/06404,2021-01-28 23:17:48.000000,2021-04-14 23:49:52.000000,2021-03-22 03:23:00.992262,2021-04-14 23:49:50.264962,WH/IN/06347,PO04575,done,Partner Locations/Vendors,WH/Input,
2508,Goods Inwards Inspection,WH/GI/438,2021-01-22 04:30:58.000000,2021-03-22 23:27:31.000000,2020-12-20 23:14:28.204332,2021-03-22 23:27:29.864751,,PO04582,done,WH/Input,WH/Stock,
3975,Pick Components,WH/PC/00731,2021-03-15 02:42:58.000000,2021-03-15 02:54:39.000000,2021-03-15 02:45:58.261764,2021-03-15 02:54:39.212192,,MO/03670,done,WH/Stock,WH/WIP,
3993,Receipts,WH/IN/06341,2021-03-22 22:52:17.000000,2021-03-23 02:43:39.000000,2021-03-15 23:20:47.926737,2021-03-23 02:43:39.180036,,PO04997,done,Partner Locations/Vendors,WH/Input,
5021,Pick Components,WH/PC/00951,2021-05-18 00:21:59.000000,2021-05-18 01:34:11.000000,2021-05-18 00:22:42.832909,2021-05-18 01:34:10.764850,,MO/03862,done,WH/Stock,WH/WIP,
4435,Receipts,WH/IN/06520,2021-04-21 04:48:25.000000,2021-05-06 22:36:23.000000,2021-04-12 23:40:40.691166,2021-05-06 22:36:23.470277,,PO05074,done,Partner Locations/Vendors,WH/Input,
4065,Delivery Orders,WH/OUT/00049,2021-02-08 05:53:59.000000,2021-03-24 21:12:53.000000,2021-03-18 03:45:05.237641,2021-03-24 21:12:45.966772,WH/OUT/00043,SO00057,done,WH/Stock,Partner Locations/Customers,22525.31
4507,Receipts,WH/IN/06548,2021-04-22 22:53:41.000000,2021-04-30 04:23:34.000000,2021-04-15 23:27:22.536515,2021-04-30 04:23:33.907036,,PO05134,done,Partner Locations/Vendors,WH/Input,
3931,Receipts,WH/IN/06311,2021-03-18 00:23:13.000000,2021-03-18 22:05:39.000000,2021-03-11 00:28:17.219791,2021-03-18 22:05:39.198054,,PO04979,done,Partner Locations/Vendors,WH/Input,
