serial_num,bom_prod_id,bom_ref,bom_id,active,bom_line_id,product_id,product_qty,default_code
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32440.0,9718.0,4.0,1009721-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32439.0,9790.0,16.0,1009793-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32448.0,9791.0,16.0,1009794-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32449.0,10303.0,2.0,1010056-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32450.0,10304.0,4.0,1010057-001
1009609-001,9609,NPI - Rev 2 20221031 - 15deg FAS v0b,1272,True,32058.0,9969.0,0.0,1009955-002
1010398-001,10398,PDM - 20221115,1328,True,32676.0,10446.0,3.0,1010449-001
1010398-001,10398,PDM - 20221115,1328,True,32677.0,10447.0,1.0,1010450-001
1010398-001,10398,PDM - 20221115,1328,True,32678.0,9639.0,3.0,1009642-001
1010398-001,10398,PDM - 20221115,1328,True,32679.0,9641.0,15.0,1009644-001
1010398-001,10398,PDM - 20221115,1328,True,32680.0,9647.0,7.0,1009650-001
1010398-001,10398,PDM - 20221115,1328,True,32681.0,9648.0,3.0,1009651-001
1010398-001,10398,PDM - 20221115,1328,True,32682.0,9649.0,27.0,1009652-001
1010398-001,10398,PDM - 20221115,1328,True,32683.0,9651.0,18.0,1009654-001
1010398-001,10398,PDM - 20221115,1328,True,32684.0,10448.0,5.0,1010451-001
1010398-001,10398,PDM - 20221115,1328,True,32685.0,10227.0,2.0,1009980-001
1010398-001,10398,PDM - 20221115,1328,True,32686.0,9655.0,7.0,1009658-001
1010398-001,10398,PDM - 20221115,1328,True,32687.0,10449.0,1.0,1010452-001
1010398-001,10398,PDM - 20221115,1328,True,32688.0,10450.0,5.0,1010453-001
1010398-001,10398,PDM - 20221115,1328,True,32689.0,9658.0,72.0,1009661-001
1010398-001,10398,PDM - 20221115,1328,True,32690.0,10451.0,1.0,1010454-001
1010398-001,10398,PDM - 20221115,1328,True,32691.0,10452.0,1.0,1010455-001
1010398-001,10398,PDM - 20221115,1328,True,32692.0,10453.0,2.0,1010456-001
1010398-001,10398,PDM - 20221115,1328,True,32693.0,9870.0,2.0,1009873-001
1010398-001,10398,PDM - 20221115,1328,True,32694.0,10455.0,1.0,1010458-001
1010398-001,10398,PDM - 20221115,1328,True,32695.0,10456.0,1.0,1010459-001
1010398-001,10398,PDM - 20221115,1328,True,32696.0,10457.0,1.0,1010460-001
1010398-001,10398,PDM - 20221115,1328,True,32697.0,10234.0,2.0,1009987-001
1010398-001,10398,PDM - 20221115,1328,True,32698.0,10458.0,1.0,1010461-001
1010398-001,10398,PDM - 20221115,1328,True,32699.0,10459.0,2.0,1010462-001
