name,default_code,name,delay,min_qty,date_start,date_end,id
Retech Precision Mould Limited,1001450-002,SEN:CMP:MEC:GOKU:COAXIAL:SHIM:RIGHT:7MM,14,1.0,,,3863
SCORPTEC COMPUTERS,1005506-001,RIG:CMP:ELC:MONITOR:LED:24,0,1.0,,,3618
Retech Precision Mould Limited,1002325-001,RIG:PART:ALU:10-001-02-03:ABSORBER_HOLDING_BRACE,14,1.0,,,3745
Retech Precision Mould Limited,1001514-006, SENS:ADAPT:BLUE:GOKU:FRONT_HOUSING,21,1.0,,,2728
"DICON FIBEROPTICS, INC (double up)",1005598-001,RIG:CMP:OPT:MODULE:VOA:1CH,0,1.0,,,3721
Retech Precision Mould Limited,1002328-001,RIG:PART:ALU:10-001-03-03:ABSORBER_TOP_PANEL,14,1.0,,,3748
Altronics,1006266-001,RIG:CMP:ELC:CABLE:FIGURE8:0.18,1,0.0,,,3599
Thorlabs Inc,1005605-001,RIG:CMP:MEC:BREADBOARD:150MMx300MM:M6,0,1.0,,,3647
Thorlabs Inc,1005604-001,RIG:CMP:MEC:BREADBOARD:300MMx300MM:M6,0,1.0,,,3650
Fuzhou Solid Photon Ink,1001824-001,PRISM:SIL:2.0DEG:50MM:ARC<3%_7 4DEG,60,1.0,,,3588
Sei Pak (Aust) Pty Ltd,1007766-001,SYS:ASY:PKG:FOAM:INSERT:2CH,1,50.0,,,7766
Sei Pak (Aust) Pty Ltd,1007766-001,SYS:ASY:PKG:FOAM:INSERT:2CH,28,500.0,,,7766
Sei Pak (Aust) Pty Ltd,1007766-001,SYS:ASY:PKG:FOAM:INSERT:2CH,21,250.0,,,7766
Sei Pak (Aust) Pty Ltd,1007766-001,SYS:ASY:PKG:FOAM:INSERT:2CH,21,100.0,,,7766
Digi-Key Electronics,1010534-001,CMP:SAS:ELC:SP25:AEAT-9955:EVAL_BOARD (copy),1,0.0,,,10531
Digi-Key Electronics,1001642-001,CONNECTOR:DF13:30WAY_HOUSING,35,1.0,,,3171
Retech Precision Mould Limited,1002329-001,RIG:PART:ALU:10-001-04-01:ADAPTOR_PLATE,14,1.0,,,3749
Dajiang Model and Tooling,1002105-001,SENS:ADAPT:WHITE:GOKU4:_PRISM2_CLAMP,21,1.0,,,4062
Retech Precision Mould Limited,1001380-002,SENS:ADAPT:ALU:NATURAL:GOKU3:PRISM2_BRACKET,28,30.0,,,4015
4Cabling Pty Ltd,1005594-001,RIG:CMP:ELC:CABLE:HDMI:2M,0,1.0,,,3600
Retech Precision Mould Limited,1001982-001,EDF:CMP:ALU:NAT:ATLAS:CLADDING_PROTECTOR,28,1.0,,,3369
Thorlabs Inc,1005679-001,RIG:CMP:OPT:MOUNT:MIRROR:KINEMATIC,0,1.0,,,3722
Thorlabs Inc,1005603-001,RIG:CMP:MEC:BREADBOARD:300MMx450MM:M6,0,1.0,,,3651
Thorlabs Inc,1005610-001,RIG:CMP:OPT:ADAPTER:FIBER:LC/PC,0,1.0,,,3701
AFW Technologies Pty Ltd,1005653-001,RIG:CMP:OPT:DELAY:FIBER:100M:FC/APC,0,1.0,,,3708
Zaber,1005667-001,RIG:CMP:MEC:STAGE:ENCODER:MOTORIZED:ROTARY:60MM,0,1.0,,,3687
Sei Pak (Aust) Pty Ltd,1001655-001,LIDAR:DICEROS:4HEADBOX,21,1.0,,,3515
Manuco Electronics,1005689-001,RIG:CMP:ELC:MONITOR:TFT,0,1.0,,,3619
"DJ MODEL & TOOLING CO.,LIMITED",1001805-005,ACCS:BLACK:FAN_MOUNT:SHEET METAL,28,40.0,,,2729
Retech Precision Mould Limited,1002330-001,RIG:PART:ALU:10-001-04-02:HOLDING_ARM,14,1.0,,,3750
"DJ MODEL & TOOLING CO.,LIMITED",1001962-001,INSPECTION_JIG:GAUGE:1001397:CRYSTAL_TUBE,21,1.0,,,3498
Retech Precision Mould Limited,1002045-002,EDF:CMP:ALU:NAT:ATLAS:PUMP_CLAMP,21,1.0,,,3371
Retech Precision Mould Limited,1001473-002,ENG:CASE:AL:BLUE:DICEROS:GA:TOP_HEAT_SINK,21,1.0,,,3407
Industrial-man Technology Development Co Ltd,1003787-001,SENS:ADAPT:AL:GOKU5:MOUNTING_BRACKET,21,0.0,,,4012
"Hilltop Technology Laboratory, Inc.",1003787-001,SENS:ADAPT:AL:GOKU5:MOUNTING_BRACKET,21,0.0,,,4012
Lapp Australia Pty Ltd,1006102-001,CON:SYS:CMP:MEC:GLAND:CONDUIT:M25,21,100.0,,,4164
Retech Precision Mould Limited,1001185-003,SEN:CMP:MEC:PEEK:COAXIAL:CRYSTAL:TUBE,1,1.0,,,3929
"DJ MODEL & TOOLING CO.,LIMITED",1002345-004,ENG:ADAPT:AL:NATURAL:ANGIE:LASER_CLAMP,21,0.0,,,3377
Objective 3D,1002178-001,ADAPT:ACETAL:IVY:LENS_CLAMP,14,1.0,,,2730
Retech Precision Mould Limited,1002178-001,ADAPT:ACETAL:IVY:LENS_CLAMP,21,1.0,,,2730
SCORPTEC COMPUTERS,1005507-001,RIG:CMP:ELC:NUC:INTEL:8109U,0,1.0,,,3620
Lapp Australia Pty Ltd,1002129-001,Multi-hole Insert:DIX-M_M20_4X3mm,14,1.0,,,3533
Digi-Key Electronics,1001644-001,CONNECTOR:ETHERNET:M12-8-X:FEMALE,7,1.0,,,3172
Element14 Pty Ltd,1001644-001,CONNECTOR:ETHERNET:M12-8-X:FEMALE,35,1.0,,,3172
Thorlabs Inc,1005606-001,RIG:CMP:MEC:BREADBOARD:300MMx600MM:M6,0,1.0,,,3652
AFW Technologies Pty Ltd,1005654-001,RIG:CMP:OPT:DELAY:FIBER:150M:FC/APC,0,1.0,,,3709
Thorlabs Inc,1005677-001,RIG:CMP:MEC:STAGE:LONG_TRAVEL:3-AXIS,0,1.0,,,3688
"DJ MODEL & TOOLING CO.,LIMITED",1003834-001,ASY:JIG:MOTOR:MOUNT:GOKU5,21,0.0,,,2817
